x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
38.30;71.80;y;0.79;0.05;14.04;-45.00;0.00;81.38
38.30;71.80;p;0.75;0.03;-30.96;0.00;0.58;81.38
38.80;72.10;y;0.79;0.07;-30.96;-4.57;0.00;81.88
38.80;72.10;p;1.05;0.06;-35.54;0.00;0.86;81.88
39.50;72.60;y;0.79;0.07;-35.54;91.85;0.00;82.65
39.50;72.60;p;1.70;0.18;56.31;0.00;1.44;82.65
40.30;71.40;y;0.79;0.17;56.31;-45.00;0.00;81.99
40.30;71.40;p;0.61;0.20;11.31;0.00;0.51;81.99
40.80;71.30;y;0.79;0.39;11.31;-89.22;0.00;82.15
40.80;71.30;p;1.59;0.12;-77.91;0.00;1.43;82.15
41.10;72.70;y;0.79;0.03;-77.91;41.88;0.00;83.51
41.10;72.70;p;1.60;0.13;-36.03;0.00;1.36;83.51
42.20;73.50;y;0.79;0.16;-36.03;-60.68;0.00;84.75
42.20;73.50;p;1.82;0.07;-96.71;0.00;1.71;84.75
42.00;75.20;y;0.79;0.02;-96.71;-19.86;0.00;86.13
42.00;75.20;p;1.14;0.44;-116.57;0.00;0.89;86.13
41.60;76.00;y;0.79;0.35;-116.57;-133.78;0.00;86.64
41.60;76.00;p;1.65;0.46;109.65;0.00;1.49;86.64
41.10;74.60;y;0.79;0.30;109.65;36.66;0.00;85.17
41.10;74.60;p;0.90;0.04;146.31;0.00;0.72;85.17
40.50;74.20;y;0.79;0.00;146.31;23.68;0.00;84.53
40.50;74.20;p;1.83;0.11;169.99;0.00;1.73;84.53
